date,Overall,ADA,BNB,BTC,ETH,Meme,Mixed,SOL,TON,USDC,USDT,XRP
2023-01-01,83.2208,,69.0900,77.2643,,83.2600,93.1774,,,,,62.4200
2023-01-02,86.0237,,61.3150,84.0773,98.5250,58.8950,96.8684,96.3000,,,,70.8944
2023-01-03,78.6246,,,90.5079,79.0881,84.0400,82.5832,97.9350,,,36.0850,92.2631
2023-01-04,73.2430,,58.8852,81.7013,94.2576,65.9100,94.1093,,,,,88.5850
2023-01-05,64.7759,20.8850,,47.8148,96.1825,79.2950,96.8322,,,,10.7750,64.8000
2023-01-06,79.1097,87.3817,36.9077,50.2395,35.2000,97.4701,91.9014,14.2550,20.7050,,98.1900,97.0897
2023-01-07,81.0779,,5.7450,26.0516,,8.8750,53.4846,55.3800,99.9000,,,3.9150
2023-01-08,52.9990,,96.8550,74.6950,77.1150,,84.4414,,,,,
2023-01-09,66.9677,98.8700,,47.8625,61.5721,69.2996,87.7001,93.2250,,,,95.8450
2023-01-10,77.6037,,26.1650,77.1419,99.6613,70.0950,85.9104,,,,87.2748,83.1621
2023-01-11,74.1239,92.2100,91.1805,96.8542,79.2950,90.4400,78.3348,,,,99.7900,
2023-01-12,84.7650,88.2500,9.2850,90.0872,95.8188,86.6795,95.3616,63.2000,,,99.8300,97.2051
2023-01-13,74.4437,72.7613,14.5200,78.0662,76.3350,,76.2429,82.9850,,,,95.6200
2023-01-14,75.5466,,,70.7382,88.9826,67.0691,99.2716,,,,,73.8350
2023-01-15,78.0066,,76.0750,80.0457,96.1550,99.4930,67.4723,,,,,
2023-01-16,69.3225,,94.8950,63.2434,99.7850,61.3072,88.4266,76.7102,,,97.6400,84.5050
2023-01-17,69.8415,27.9800,73.9855,55.1387,,75.3618,54.3172,99.9350,26.9300,,99.6600,96.0671
2023-01-18,85.7611,,,88.3543,99.8252,96.5656,57.3121,92.0100,,,,72.0058
2023-01-19,79.4131,,,72.6141,44.6701,,83.0851,67.0000,61.3150,98.5000,,54.9886
2023-01-20,52.9536,27.9800,14.5200,89.2943,65.9100,72.0200,33.8122,72.5897,,,,96.1050
2023-01-21,81.3303,,,86.4842,85.4249,,91.1180,79.8985,,,99.5100,
2023-01-22,62.0123,,7.2700,84.8254,96.7687,,61.9181,73.2587,,,,67.8769
2023-01-23,91.6121,91.5650,,74.8665,96.1254,91.9950,96.5799,,,,,83.5088
2023-01-24,81.1524,80.6200,,97.9565,70.1825,89.2496,97.6081,60.9588,,73.8350,,88.4346
2023-01-25,77.5417,87.1500,,62.1613,91.4219,,95.2800,98.8900,,,,80.5449
2023-01-26,79.2099,97.5443,37.9068,72.7211,29.9499,80.0969,97.1274,82.9850,,,,
2023-01-27,77.0455,99.1750,26.1650,86.5756,,85.0275,77.6941,,,,,97.2550
2023-01-28,55.5396,79.0400,,31.9936,,91.5800,44.4509,,,,,
2023-01-29,87.3363,,,44.1271,,,93.8565,,,,98.9150,
2023-01-30,83.1975,97.9750,83.7850,39.2432,50.6148,,95.4213,25.7305,,,99.2350,79.2950
2023-01-31,81.4411,82.4363,26.1650,85.7406,98.3900,98.0800,96.1087,99.5200,,,98.3850,77.8387
2023-02-01,82.8892,,,60.8413,99.6600,93.4450,95.3504,,92.7750,,,93.2900
2023-02-02,80.3717,,,80.9737,94.4794,,94.4920,39.8850,72.9400,,99.7100,90.9441
2023-02-03,81.3759,99.5150,26.1650,96.4990,80.9350,,71.9516,,,,,78.9155
2023-02-04,62.8408,92.5157,,39.0343,70.1774,89.5300,71.7849,,,,,85.4800
2023-02-05,62.5948,71.5500,89.8200,67.8568,84.4100,94.8650,86.5504,,,,,42.8367
2023-02-06,75.2955,98.3150,62.0009,86.5172,,70.6529,70.7567,,,,,42.8212
2023-02-07,83.4500,89.9233,,73.5306,73.2997,,91.9125,89.2830,,,,61.3150
2023-02-08,61.3608,83.6083,26.1650,92.6692,95.8743,,63.6996,,,,,60.5002
2023-02-09,81.4358,,88.2500,73.7513,53.6525,89.2250,88.9524,31.9400,,,63.1900,27.9400
2023-02-10,79.9229,79.0375,,81.0666,85.8592,31.3438,61.1275,72.3688,,96.4350,,78.9089
2023-02-11,63.8788,77.4427,78.5950,78.9410,86.4367,55.5064,37.2614,75.9350,,,,8.8750
2023-02-12,72.9717,,,84.5749,70.1574,35.2000,92.0441,88.9150,7.2250,,,37.5000
2023-02-13,54.5485,,85.9300,44.4307,91.8825,37.2367,85.1816,,73.8350,,,91.9950
2023-02-14,78.4082,92.0100,53.8129,49.8539,90.4250,71.2616,95.9796,31.0725,,,,44.5909
2023-02-15,76.3779,96.4350,,54.0417,98.5589,65.4161,91.3251,,,,,56.4600
2023-02-16,65.9808,71.3591,,45.6612,91.9176,,42.0476,,,,,64.4991
2023-02-17,62.1841,84.0400,84.4650,86.2259,81.0972,90.7022,83.6363,77.1150,,,,60.1822
2023-02-18,73.7866,62.5000,53.8600,67.7979,62.1541,,88.3767,,,,,
2023-02-19,66.8427,99.3100,,71.5966,98.5800,53.1746,91.7570,,,,,
2023-02-20,74.8068,,,94.0437,93.9088,68.8490,95.4550,,,,,69.9024
2023-02-21,68.4688,98.5050,,83.4468,18.7550,91.1250,89.2314,61.3150,81.2450,,,31.3200
2023-02-22,78.4075,76.5740,,96.2603,54.3754,86.7502,80.6632,84.0400,22.5050,,,69.8354
2023-02-23,76.4252,59.9272,,58.7754,98.5092,28.9250,98.5007,82.4300,,,,77.8100
2023-02-24,75.2588,,,51.5332,89.9320,91.9633,97.5054,97.2050,,,,84.0495
2023-02-25,52.6777,57.1647,88.5850,50.4828,67.5436,97.6400,25.2188,,,95.0050,,
2023-02-26,67.8408,42.9700,,93.0759,68.3328,95.4300,70.7544,3.5000,,,,
2023-02-27,68.0374,,,91.2357,81.7277,48.7132,57.3884,,,,85.9200,24.4700
2023-02-28,81.4032,75.8940,,65.0712,83.0478,,95.2761,4.9450,,,64.8000,64.0852
2023-03-01,69.9857,,26.1650,87.8671,53.5044,60.1150,89.7853,,,86.5550,,94.5500
2023-03-02,64.3086,99.8800,,85.9908,79.4556,98.0200,94.6526,,,,,
2023-03-03,73.7020,85.0150,53.7255,72.1212,45.8444,97.1056,41.6648,,,,,88.2143
2023-03-04,47.9081,,,30.7894,17.7319,69.1120,30.6409,8.8300,,,,79.2134
2023-03-05,59.6865,,,47.0152,77.0956,96.9100,31.6823,94.3450,,,,68.0600
2023-03-06,65.9085,,90.6750,8.4604,85.9200,65.3178,87.9560,,,,,67.9789
2023-03-07,73.3020,61.3150,,82.0221,72.0426,,25.1378,93.6743,,,79.2950,45.1233
2023-03-08,85.7231,,63.4966,94.5424,,73.1132,99.0784,,,,,
2023-03-09,57.0536,3.9150,,18.7921,69.6739,,73.5100,7.2250,,,,88.9110
2023-03-10,69.4962,,,68.4709,66.5652,58.6139,56.9811,,,,,23.3622
2023-03-11,36.3425,58.2950,,80.1782,12.6908,85.2192,12.8386,8.2000,,24.1518,,
2023-03-12,52.6921,95.0283,,69.0392,22.1760,86.1599,30.0999,,,36.1861,,
2023-03-13,58.1424,,82.0338,58.0916,93.8950,55.9031,74.6377,16.9750,,77.3206,,70.0950
2023-03-14,73.8535,,,91.7210,75.9522,24.4700,85.6699,41.1450,13.6550,70.0523,,92.5850
2023-03-15,73.7199,,98.4100,48.2813,93.3135,56.5928,70.8606,,,28.9250,,80.8530
2023-03-16,63.7981,33.2813,,75.5346,81.6458,41.1050,16.9954,83.5250,12.4700,59.1900,,69.8684
2023-03-17,86.4412,96.3850,,88.0111,94.6532,47.1960,89.5533,,,,,60.0636
2023-03-18,65.6898,84.6202,,64.2382,71.7054,83.0076,,,,55.1350,,94.1700
2023-03-19,60.4147,92.8656,,59.6293,64.2891,33.0871,79.9700,79.3529,,,,89.8200
2023-03-20,69.1714,,26.1650,63.0727,64.7600,,89.6126,98.2850,,,,80.0936
2023-03-21,84.3789,83.0334,,95.7003,67.7690,87.3921,93.2976,,,,,
2023-03-22,81.8243,,26.1650,90.2988,57.0761,90.3700,85.6429,,,,,89.0069
2023-03-23,76.7560,85.0150,,36.4321,99.8057,96.9650,97.2036,,,,,71.0750
2023-03-24,60.1159,72.8150,,44.7994,68.9982,76.1822,48.8217,,,,,91.6155
2023-03-25,57.3305,,,82.0237,81.0200,50.3668,77.7524,,,,,
2023-03-26,65.0609,,,53.0177,96.5255,97.0650,26.1180,60.5307,,,,
2023-03-27,82.5946,,,84.6657,,51.0775,99.7138,58.0170,,,,85.6729
2023-03-28,72.9845,97.9500,59.3000,83.4940,84.0996,15.3850,93.8429,96.3600,,,,79.7990
2023-03-29,84.1274,90.8800,,67.2802,99.7864,94.1210,93.2820,78.3050,,25.3050,,52.2210
2023-03-30,70.0160,63.4071,96.4400,67.6762,40.2870,58.6967,84.4591,92.4050,,,,61.3150
2023-03-31,80.5474,60.2742,26.1650,92.6570,71.0292,95.5359,76.9712,92.5950,,,99.8950,64.8000
2023-04-01,75.2673,95.5000,98.6150,42.8022,45.0844,,68.1352,29.3900,,,,86.8750
2023-04-02,56.5378,,,69.3644,,90.8800,73.1077,,,61.3150,,91.8000
2023-04-03,72.0585,98.0106,,57.5749,7.1913,97.6050,83.0913,80.6200,,,,
2023-04-04,81.6001,98.7905,52.5800,88.7650,27.8502,85.9721,79.8082,,86.3450,,,55.9198
2023-04-05,87.6725,99.9350,,60.1872,94.3714,90.6300,90.7339,,,,,
2023-04-06,83.6112,,94.3900,97.7760,89.3421,,82.6092,,,,,
2023-04-07,64.9447,,,57.6256,71.2241,,66.1435,96.3600,,,,
2023-04-08,34.0333,85.4800,,4.7245,,,80.2763,,,,,
2023-04-09,71.6088,89.9600,35.2000,89.8094,72.2701,,65.4103,55.3250,,,,53.8600
2023-04-10,65.6664,,60.3930,81.7492,65.6797,90.1000,87.1250,,,,,49.1320
2023-04-11,73.0217,86.5202,,93.1885,98.5756,38.0100,48.1057,,,30.2600,,49.5761
2023-04-12,74.9371,93.4930,,59.5180,98.1277,,95.8049,83.9300,,,35.1950,84.5736
2023-04-13,83.8065,72.9400,,92.4055,60.1587,,92.0781,87.4335,,,85.7600,
2023-04-14,79.9182,96.4350,,66.7163,95.1293,21.7562,96.2890,,74.5250,,,81.8490
2023-04-15,65.9947,65.9100,63.6600,78.4289,93.3870,,43.7907,88.9150,,,,95.5152
2023-04-16,55.0877,3.7000,74.6950,17.0390,45.9265,,92.3778,85.0150,,,,
2023-04-17,86.8821,2.7000,,96.2300,98.2991,91.9365,79.5287,,,,,53.9760
2023-04-18,78.6660,11.4150,,78.6042,99.8250,,74.6775,,,,,
2023-04-19,82.1935,93.7500,,79.0460,61.9537,93.8963,89.7054,59.5993,,,,74.8509
2023-04-20,74.7273,,60.9834,69.8253,85.8661,93.1603,94.6462,,,96.8000,1.0700,85.2975
2023-04-21,88.8547,2.7000,,71.3891,26.1078,98.2850,92.3771,,72.0200,,,87.2383
2023-04-22,69.4094,,,99.3868,83.3100,96.6040,90.6269,,,,,28.1925
2023-04-23,56.0632,34.2436,,39.0001,1.4750,,65.6444,64.8000,,,5.8050,
2023-04-24,80.0853,,,62.6965,98.3856,57.0286,95.8305,96.4350,,,,94.3750
2023-04-25,76.0908,,,50.6521,98.2850,96.4179,62.7920,,,,99.6950,
2023-04-26,85.2736,,,88.2501,58.5700,93.2304,97.4317,61.3150,84.2095,38.6850,80.0400,76.7957
2023-04-27,73.2356,82.9466,,42.1792,65.9648,,87.4217,,,,,81.8112
2023-04-28,81.3703,,,85.1530,90.3746,67.0000,94.1431,73.8350,,,8.2000,79.1648
2023-04-29,73.0645,,,87.7134,,,85.1934,,,,,80.6200
2023-04-30,79.4127,,,78.5821,82.5431,85.9200,91.7805,,96.8550,,,21.3914
2023-05-01,82.8423,19.3800,,76.7535,,17.0150,91.5742,77.1150,,99.8900,,61.0725
2023-05-02,60.1652,89.4067,63.6600,32.0435,75.5300,95.6112,23.2739,12.1050,,,99.7200,51.4358
2023-05-03,73.3775,2.4150,,66.3998,82.4300,86.4949,78.7920,,99.2200,,,30.7475
2023-05-04,83.4116,,,77.5834,97.9199,95.6800,81.5441,98.4150,,,,
2023-05-05,83.5934,,,84.2475,99.0905,99.8700,69.5907,,,,,58.8950
2023-05-06,62.8817,2.1100,8.2000,64.8807,,70.3215,94.0350,83.8764,,,69.6950,95.9141
2023-05-07,76.8419,6.8750,,52.7826,81.8450,84.9275,93.3393,68.3397,,,,63.2975
2023-05-08,49.8716,,,52.0627,23.7867,73.4633,25.7826,,,,,63.2485
2023-05-09,77.8941,2.8400,91.0050,92.0877,,72.0200,82.3817,96.7806,,,,86.1716
2023-05-10,64.6479,32.8300,,79.8686,,65.5338,53.3461,,,,93.3751,75.4292
2023-05-11,70.4860,88.2500,,39.5796,88.9544,86.8858,79.8097,,,,,59.9206
2023-05-12,71.4265,79.5176,,61.5392,84.7781,95.5900,60.5014,,,,,60.6762
2023-05-13,77.8248,86.7550,,89.8713,47.6889,71.2492,87.1914,67.2540,,,,77.6940
2023-05-14,54.1887,31.9400,,34.0313,,91.3621,26.7328,92.6650,,,,63.0466
2023-05-15,84.8576,94.8550,,84.9787,2.5750,94.8141,85.7902,,96.5000,,97.6549,43.5571
2023-05-16,81.5438,,,92.3437,83.0730,,90.0646,,,,99.8200,81.7317
2023-05-17,86.9554,,,96.1635,96.3419,57.4292,82.3553,,,,,67.4651
2023-05-18,84.5040,,,86.0218,99.7350,43.1343,97.9434,,,,99.4350,85.1399
2023-05-19,74.0492,96.3798,,57.1626,77.4816,94.3000,70.7650,,,,,62.3708
2023-05-20,71.7282,85.4800,,83.1961,23.9200,,52.0406,18.5350,,,,77.9663
2023-05-21,64.0646,15.8656,,77.3741,81.2450,75.1675,96.2706,,,,,28.2123
2023-05-22,78.7093,62.8622,,84.3234,99.2583,61.2191,70.8750,,,,,42.3840
2023-05-23,89.6297,66.8840,,87.2072,98.8764,79.2055,97.0593,96.0850,20.0300,,96.0342,
2023-05-24,83.9900,,,82.8436,95.4050,85.2198,86.4693,,,,,54.8966
2023-05-25,85.5904,,96.2950,87.6895,96.7716,69.7400,87.1034,92.5250,,,44.4043,52.0720
2023-05-26,79.1974,,,90.9731,,68.8107,74.9878,,,67.0000,,50.0308
2023-05-27,67.5144,92.4050,,94.4250,,59.2846,65.2684,96.1750,,,,43.2895
2023-05-28,79.7561,80.3093,,53.5479,,,90.6854,,,,,95.1100
2023-05-29,88.6954,,,86.3579,91.5800,73.1204,92.8245,,,,99.8150,96.4300
2023-05-30,81.2529,97.3314,,74.9923,92.0482,70.7605,97.0761,84.8516,65.9100,,99.8100,56.0612
2023-05-31,85.6092,88.9150,,24.3715,53.7213,72.0200,89.8150,,,,98.7612,69.0354
